fid,ORGANISATI,SUB_BUILDI,BUILDING_N,BUILDING_1,PRIMARY_TH,ALT_THORFA,SECONDARY_,LOCALITY,TOWNLAND,TOWN,COUNTY,POSTCODE,BLPU,UNIQUE_BUI,UPRN,USRN,LOCAL_COUN,X_COR,Y_COR,TEMP_COORD,BUILDING_S,ADDRESS_ST,CLASSIFICA,CREATION_D,COMMENCEME,ARCHIVED_D,ACTION_,UDPRN,POSTTOWN,xlong,ylat
"312",NOVUS STYLES LTD,,,9A,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186922130","185770303","35792",COLERAINE,"284469","432468",N,BUILT,APPROVED,ND_INDUSTRY,,,,,,COLERAINE,648130.739290808,6111970.60792793
"313",,,,6A,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186922123","185770296","35792",COLERAINE,"284479","432415",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621680",COLERAINE,648141.494445383,6111917.76995531
"314",,,,1B,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186117469","185770279","35792",COLERAINE,"284499","432476",N,BUILT,APPROVED,ND_OFFICE,,,,,,COLERAINE,648160.614085172,6111979.03454225
"315",,,,2A,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186922113","185770285","35792",COLERAINE,"284491","432414",N,BUILT,APPROVED,DO_APART,,,,,"3621677",COLERAINE,648153.504487931,6111916.94209553
"316",,,,"23",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116570","185537546","7859",COLERAINE,"284177","432567",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623603",COLERAINE,647837.42610452,6112065.39252548
"317",,,,"10",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116975","185536734","7204",COLERAINE,"284273","432557",N,BUILT,APPROVED,DO_SEMI,,,,,"3622826",COLERAINE,647933.535037652,6112056.7703839
"318",,,,"56",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116328","185537584","7859",COLERAINE,"284118","432611",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623644",COLERAINE,647777.81725828,6112108.53221401
"319",,,,"44",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116769","185535812","7860",COLERAINE,"284227","432438",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621797",COLERAINE,647889.254973176,6111937.15429139
"320",,,,"3",CARTHALL TERRACE,,CARTHALL ROAD,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3EL,,"186116130","185536104","38160",COLERAINE,"284071","432688",N,BUILT,APPROVED,DO_TERRACE,,,,,"3622080",COLERAINE,647729.731715365,6112184.83191004
"321",,,,"66",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116257","185537590","7859",COLERAINE,"284102","432641",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623650",COLERAINE,647761.393495568,6112138.29246305
"322",DAYFRESH,,,"2",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117308","185535788","7860",COLERAINE,"284406","432423",N,BUILT,APPROVED,ND_RETAIL,,,,,,COLERAINE,648068.405920313,6111924.72208562
"323",THE FAB KEBAB TAKE AWAY,,,"15",WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186117404","185535675","35792",COLERAINE,"284455","432448",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621654",COLERAINE,648117.030584492,6111950.41463465
"324",,,,"1",WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186117472","185535671","35792",COLERAINE,"284501","432443",N,BUILT,APPROVED,DO_APART,,,,,,COLERAINE,648163.085781792,6111946.07492322
"325",,,,"5",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117089","185535814","7860",COLERAINE,"284311","432458",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647972.938727439,6111958.34965492
"326",ROADS SERVICE,,COUNTY HALL,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HS,,"186117372","185536857","7204",COLERAINE,"284438","432764",N,BUILT,APPROVED,ND_OTHER,,,,,"3622917",COLERAINE,648095.512896504,6112266.05872242
"327",WEST BANN DEVELOPMENT GROUP,,,"18",WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186117374","185770317","35792",COLERAINE,"284441","432420",N,BUILT,APPROVED,ND_RETAIL,,,,,,COLERAINE,648103.436400661,6111922.22419147
"328",,,,,CASTLE LANE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DR,,"186117382","185844542","7114",COLERAINE,"284443","432475",N,BUILT,APPROVED,,,,,,"50900085",COLERAINE,648104.648341804,6111977.23323376
"329",,,,"62",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116298","185537588","7859",COLERAINE,"284111","432625",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623648",COLERAINE,647770.61933602,6112122.42701106
"330",,,,7C,HAZELBANK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DU,,"187263623","187263624","14836",COLERAINE,"284114","432432",N,BUILT,APPROVED,DO_TERRACE,20-Jun-07,29-Apr-10,,,"50620671",COLERAINE,647776.381156487,6111929.53879589
"331",,,,"38",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116856","185535806","7860",COLERAINE,"284248","432437",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621792",COLERAINE,647910.261802988,6111936.45527048
